,0
2023-06-26,67.6130018918779
2023-06-27,69.15353407715732
2023-06-28,67.53534316676205
2023-06-29,70.62016916658962
2023-06-30,68.625667347765
2023-07-01,67.24284244358371
2023-07-02,67.12910750193889
2023-07-03,68.78247241524318
2023-07-04,68.17653721467416
2023-07-05,69.21400049409209
2023-07-06,69.07323762457354
2023-07-07,68.62717108734313
2023-07-08,67.95320628193159
2023-07-09,67.38515277531414
2023-07-10,68.55348504793298
2023-07-11,69.95639879432346
2023-07-12,69.41409374413021
2023-07-13,68.05426122128802
2023-07-14,69.57318092585119
2023-07-15,69.88531737972883
2023-07-16,68.71614256379885
2023-07-17,69.85372510594553
2023-07-18,69.858208718446
2023-07-19,68.75702970216938
